iterationName,context_id,gameid,time,trialNum,repNum,targetImg,msg,timeFromRoundStart,rt,agent1stick,agent2stick,quizAttempts,button_pressed,response,stimulus_type,stimulus_contestant,trial-index,chosenStick,responses
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,1499.615000007907,0.3,0.8,,,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,3753,0.3,0.6,,,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,6023,0.3,0.6,,0,,,,,,
prolificPilot2,,8058-30093c09-dcf0-4a2d-8efe-aba28131c1f4,,,,,,,3648.979999939911,0.1,0.6,,,,,,,,
prolificPilot2,,9946-8a8f5218-375c-4829-a355-f68ccc532ecc,,,,,,,4670.760000008158,0.1,0.8,,,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,5910,0.3,0.6,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,16456.05500000238,0.3,0.8,,0,,,,,,
prolificPilot2,,9946-8a8f5218-375c-4829-a355-f68ccc532ecc,,,,,,,10168.78499998711,0.1,0.8,,0,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,9925,0.3,0.6,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,7792.875000013737,0.3,0.8,,0,,,,,,
prolificPilot2,,9946-8a8f5218-375c-4829-a355-f68ccc532ecc,,,,,,,8640.134999994189,0.1,0.8,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,5709.110000010696,0.3,0.8,,0,,,,,,
prolificPilot2,,9946-8a8f5218-375c-4829-a355-f68ccc532ecc,,,,,,,14617.825000023004,0.1,0.8,,0,,,,,,
prolificPilot2,,8058-30093c09-dcf0-4a2d-8efe-aba28131c1f4,,,,,,,38982.12500009686,0.1,0.6,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,18915.950000009616,0.3,0.8,,0,,,,,,
prolificPilot2,,2855-da3a9159-e18d-4893-8d97-dad1ea02f8d1,,,,,,,41104.1699999987,0.2,0.6,,,,,,,,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,2562.980000002426,0.2,0.8,,,,,,,,
prolificPilot2,,2855-da3a9159-e18d-4893-8d97-dad1ea02f8d1,,,,,,,2596.589999997377,0.2,0.6,,0,,,,,,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,1683.6750000002212,0.2,0.8,,0,,,,,,
prolificPilot2,,8058-30093c09-dcf0-4a2d-8efe-aba28131c1f4,,,,,,,6548.595000058413,0.1,0.6,,0,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,31658,0.3,0.6,,0,,,,,,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,5456.8700000018,0.2,0.8,,0,,,,,,
prolificPilot2,,2855-da3a9159-e18d-4893-8d97-dad1ea02f8d1,,,,,,,9104.514999999083,0.2,0.6,,0,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,5827,0.3,0.6,,0,,,,,,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,5058.51999999868,0.2,0.8,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,15335.940000004484,0.3,0.8,,0,,,,,,
prolificPilot2,,8058-30093c09-dcf0-4a2d-8efe-aba28131c1f4,,,,,,,10594.559999997728,0.1,0.6,,0,,,,,,
prolificPilot2,,1091-300d44f0-3cfc-41d5-9bb9-9afa6bf751f2,,,,,,,1942.5749999999985,0.3,0.6,,,,,,,,
prolificPilot2,,9946-8a8f5218-375c-4829-a355-f68ccc532ecc,,,,,,,26977.705000026617,0.1,0.8,,0,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,9351,0.3,0.6,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,12373.149999999441,0.3,0.8,,0,,,,,,
prolificPilot2,,2855-da3a9159-e18d-4893-8d97-dad1ea02f8d1,,,,,,,17963.99999999994,0.2,0.6,,0,,,,,,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,16876.970000004803,0.2,0.8,,0,,,,,,
prolificPilot2,,9946-8a8f5218-375c-4829-a355-f68ccc532ecc,,,,,,,14829.689999984112,0.1,0.8,,0,,,,,,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,8312.919999996666,0.2,0.8,,0,,,,,,
prolificPilot2,,1091-300d44f0-3cfc-41d5-9bb9-9afa6bf751f2,,,,,,,22022.290000000005,0.3,0.6,,0,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,21969,0.3,0.6,,,51,practice,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,16947.229999990668,0.3,0.8,,,50,practice,,,,
prolificPilot2,,8058-30093c09-dcf0-4a2d-8efe-aba28131c1f4,,,,,,,30271.504999953322,0.1,0.6,,0,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,3499,0.3,0.6,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,3221.415000007255,0.3,0.8,,0,,,,,,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,7741.1600000050385,0.2,0.8,,0,,,,,,
prolificPilot2,,1091-300d44f0-3cfc-41d5-9bb9-9afa6bf751f2,,,,,,,6063.845000000005,0.3,0.6,,0,,,,,,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,6332.170000001497,0.2,0.8,,,50,practice,,,,
prolificPilot2,,8058-30093c09-dcf0-4a2d-8efe-aba28131c1f4,,,,,,,9295.760000008158,0.1,0.6,,0,,,,,,
prolificPilot2,,1091-300d44f0-3cfc-41d5-9bb9-9afa6bf751f2,,,,,,,7699.2750000000015,0.3,0.6,,0,,,,,,
prolificPilot2,,9946-8a8f5218-375c-4829-a355-f68ccc532ecc,,,,,,,19335.584999993443,0.1,0.8,,0,,,,,,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,3420.6450000056066,0.2,0.8,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,16409.834999998566,0.3,0.8,,,,,,,,"{""Q0"":""The contestants"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""2"",""Q3"":""Average"",""Q4"":""True""}"
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,22029,0.3,0.6,,,,,,,,"{""Q0"":""The contestants"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""2"",""Q3"":""Average"",""Q4"":""True""}"
prolificPilot2,,8058-30093c09-dcf0-4a2d-8efe-aba28131c1f4,,,,,,,18471.56500001438,0.1,0.6,,0,,,,,,
prolificPilot2,,9239-43e2b7e0-5faa-453c-b7c7-98ea5c6b3375,,,,,,,2093.9000000000005,0.3,0.8,,,,,,,,
prolificPilot2,,9239-43e2b7e0-5faa-453c-b7c7-98ea5c6b3375,,,,,,,3441.6000000000004,0.3,0.8,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,14228.264999997918,0.3,0.8,,0,,,,,,
prolificPilot2,,2855-da3a9159-e18d-4893-8d97-dad1ea02f8d1,,,,,,,47992.269999998825,0.2,0.6,,0,,,,,,
prolificPilot2,,9946-8a8f5218-375c-4829-a355-f68ccc532ecc,,,,,,,22855.25999998208,0.1,0.8,,,50,practice,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,12528,0.3,0.6,,0,,,,,,
prolificPilot2,,9239-43e2b7e0-5faa-453c-b7c7-98ea5c6b3375,,,,,,,4622.6,0.3,0.8,,0,,,,,,
prolificPilot2,,1091-300d44f0-3cfc-41d5-9bb9-9afa6bf751f2,,,,,,,30274.334999999992,0.3,0.6,,0,,,,,,
prolificPilot2,,9946-8a8f5218-375c-4829-a355-f68ccc532ecc,,,,,,,7396.774999971967,0.1,0.8,,0,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,9822,0.3,0.6,,4,,speakerTrial,first,,9in,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,35035.46500000084,0.2,0.8,,,,,,,,"{""Q0"":""The contestants"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""2"",""Q3"":""Average"",""Q4"":""True""}"
prolificPilot2,,2855-da3a9159-e18d-4893-8d97-dad1ea02f8d1,,,,,,,14716.569999996864,0.2,0.6,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,15597.320000000764,0.3,0.8,,4,,speakerTrial,first,,9in,
prolificPilot2,,1091-300d44f0-3cfc-41d5-9bb9-9afa6bf751f2,,,,,,,8544.100000000006,0.3,0.6,,0,,,,,,
prolificPilot2,,9239-43e2b7e0-5faa-453c-b7c7-98ea5c6b3375,,,,,,,14168.699999999999,0.3,0.8,,0,,,,,,
prolificPilot2,,7733-ceda31ad-fa48-4c28-996c-ec996518526d,,,,,,,5869.370000000345,0.2,0.8,,0,,,,,,
prolificPilot2,,1993-b4be830c-107f-4dba-a522-d0909f11dceb,,,,,,,8451,0.3,0.6,,0,,speakerTrial,second,,2in,
prolificPilot2,,1091-300d44f0-3cfc-41d5-9bb9-9afa6bf751f2,,,,,,,8143.645000000019,0.3,0.6,,0,,,,,,
prolificPilot2,,4816-a25af35f-4a82-4f9d-a32c-b1d94281d6e5,,,,,,,8703.789999999572,0.3,0.8,,0,,speakerTrial,second,,2in,
prolificPilot2,,8058-30093c09-dcf0-4a2d-8efe-aba28131c1f4,,,,,,,34645.79999994021,0.1,0.6,,,80,practice,,,,
