iterationName,context_id,gameid,time,trialNum,repNum,targetImg,msg,timeFromRoundStart,rt,agent1stick,agent2stick,quizAttempts,button_pressed,response,stimulus_type,stimulus_contestant,trial-index,chosenStick,responses
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,503,0.3,0.8,,,,,,,,
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,962,0.3,0.8,,0,,,,,,
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,3398,0.3,0.8,,0,,,,,,
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,3450,0.3,0.8,,0,,,,,,
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,3567,0.3,0.8,,0,,,,,,
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,3548,0.3,0.8,,0,,,,,,
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,3519,0.3,0.8,,0,,,,,,
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,4859,0.3,0.8,,,50,practice,,,,
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,2679,0.3,0.8,,0,,,,,,
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,10046,0.3,0.8,,,,,,,,"{""Q0"":""You"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""0"",""Q3"":""Tallest"",""Q4"":""True""}"
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,6350,0.3,0.8,,,,,,,,"{""Q0"":""You"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""0"",""Q3"":""Tallest"",""Q4"":""True""}"
prolificSample1,,4736-111a90a5-e767-4dbb-ba59-ac1185ca8787,,,,,,,6251,0.3,0.8,,,,,,,,"{""Q0"":""You"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""0"",""Q3"":""Tallest"",""Q4"":""True""}"
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,2476.105000008829,0.4,0.6,,,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,6592.479999992065,0.4,0.6,,0,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,4269.949999987148,0.4,0.6,,0,,,,,,
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,4123.670000000857,0.4,0.8,,,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,4821.684999973513,0.4,0.6,,0,,,,,,
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,7911.179999999149,0.4,0.8,,0,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,9710.50499996636,0.4,0.6,,0,,,,,,
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,5260.985000000801,0.4,0.8,,0,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,6537.2300000162795,0.4,0.6,,0,,,,,,
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,5381.835000000137,0.4,0.8,,0,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,6270.490000024438,0.4,0.6,,0,,,,,,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,2267.024999993737,0.1,0.8,,,,,,,,
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,15225.34000000087,0.4,0.8,,0,,,,,,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,5886.530000003404,0.1,0.8,,0,,,,,,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,4101.165000000037,0.1,0.8,,0,,,,,,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,4981.610000002547,0.1,0.8,,0,,,,,,
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,11400.265000000218,0.4,0.8,,0,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,23112.635000026785,0.4,0.6,,,36,practice,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,3349.3549999548122,0.4,0.6,,0,,,,,,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,8062.16499999573,0.1,0.8,,0,,,,,,
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,9456.265000000712,0.4,0.8,,0,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,11936.05999997817,0.4,0.6,,,,,,,,"{""Q0"":""The contestants"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""2"",""Q3"":""Average"",""Q4"":""True""}"
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,8994.370000000345,0.4,0.8,,,50,practice,,,,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,11934.370000002673,0.1,0.8,,0,,,,,,
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,3168.6200000003737,0.4,0.8,,0,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,9003.744999994524,0.4,0.6,,0,,,,,,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,5366.374999997788,0.1,0.8,,0,,,,,,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,7477.340000012191,0.1,0.8,,,50,practice,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,9310.985000105575,0.4,0.6,,4,,speakerTrial,first,,9in,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,2438.060000000405,0.1,0.8,,0,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,5889.970000018366,0.4,0.6,,0,,speakerTrial,second,,2in,
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,20973.050000000512,0.4,0.8,,,,,,,,"{""Q0"":""The contestants"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""2"",""Q3"":""Average"",""Q4"":""True""}"
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,10971.139999921434,0.4,0.6,,2,,speakerTrial,third,,8in,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,18350.834999990184,0.1,0.8,,,,,,,,"{""Q0"":""The contestants"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""2"",""Q3"":""Average"",""Q4"":""True""}"
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,12300.569999999425,0.4,0.8,,0,,,,,,
prolificSample1,,1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd,,,,,,,5930.519999936223,0.4,0.6,,0,,speakerTrial,fourth,,4in,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,4226.939999993192,0.1,0.8,,0,,,,,,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,7541.929999992135,0.1,0.8,,3,,speakerTrial,first,,8in,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,6317.930000004708,0.1,0.8,,0,,speakerTrial,second,,2in,
prolificSample1,,6809-5475fae6-cbd9-4ea2-b009-774740cfbf69,,,,,,,4340.075000014622,0.3,0.8,,,,,,,,
prolificSample1,,0538-88a5c445-4186-4139-b7fe-e2a97b04b954,,,,,,,3631,0.4,0.8,,,,,,,,
prolificSample1,,2318-19a7fbfd-7dbc-4caa-9acd-44ca52a3a21f,,,,,,,3288.814999999886,0.4,0.6,,,,,,,,
prolificSample1,,2205-f532b5cf-d37c-4268-a164-21db4f95f626,,,,,,,19929.284999998345,0.4,0.8,,2,,speakerTrial,first,,7in,
prolificSample1,,3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9,,,,,,,8973.865000007208,0.1,0.8,,1,,speakerTrial,third,,7in,
