"","iterationName","gameid","rt","agent1stick","agent2stick","button_pressed","response","stimulus_type","stimulus_contestant","chosenStick","responses"
"1","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",23112.6350000268,0.6,0.4,NA,36,"practice",NA,NA,NA
"2","prolificSample1","2205-f532b5cf-d37c-4268-a164-21db4f95f626",8994.37000000034,0.8,0.4,NA,50,"practice",NA,NA,NA
"3","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",7477.34000001219,0.8,0.1,NA,50,"practice",NA,NA,NA
"4","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",9310.98500010557,0.6,0.4,4,NA,"speakerTrial","first","9in",NA
"5","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",5889.97000001837,0.6,0.4,0,NA,"speakerTrial","second","2in",NA
"6","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",10971.1399999214,0.6,0.4,2,NA,"speakerTrial","third","8in",NA
"7","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",5930.51999993622,0.6,0.4,0,NA,"speakerTrial","fourth","4in",NA
"8","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",7541.92999999213,0.8,0.1,3,NA,"speakerTrial","first","8in",NA
"9","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",6317.93000000471,0.8,0.1,0,NA,"speakerTrial","second","2in",NA
"10","prolificSample1","2205-f532b5cf-d37c-4268-a164-21db4f95f626",19929.2849999983,0.8,0.4,2,NA,"speakerTrial","first","7in",NA
"11","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",8973.86500000721,0.8,0.1,1,NA,"speakerTrial","third","7in",NA
"12","prolificSample1","2205-f532b5cf-d37c-4268-a164-21db4f95f626",6370.13999999908,0.8,0.4,1,NA,"speakerTrial","second","4in",NA
"13","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",27649.2100000614,0.6,0.4,NA,NA,"speakerSurvey",NA,NA,"{""Q0"":""Pick the largest/smallest first to set the precedent then reinforce it with the next largest/smallest selected next.""}"
"14","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",5822.10000000487,0.8,0.1,0,NA,"speakerTrial","fourth","4in",NA
"15","prolificSample1","2205-f532b5cf-d37c-4268-a164-21db4f95f626",11999.6449999999,0.8,0.4,1,NA,"speakerTrial","third","8in",NA
"16","prolificSample1","2205-f532b5cf-d37c-4268-a164-21db4f95f626",6980.54499999853,0.8,0.4,0,NA,"speakerTrial","fourth","2in",NA
"17","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",17448.7099999969,0.8,0.1,NA,NA,"speakerSurvey",NA,NA,"{""Q0"":""showing the values that match the required averages""}"
"18","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",15998.8149999408,0.6,0.4,NA,42,"isLong","first",NA,NA
"19","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",6539.51499999675,0.8,0.1,NA,100,"isLong","first",NA,NA
"20","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",6380.38500002585,0.6,0.4,NA,33,"isLong","second",NA,NA
"21","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",6547.50000000058,0.8,0.1,NA,11,"isLong","second",NA,NA
"22","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",18773.7699999707,0.6,0.4,NA,NA,"judgeSurvey",NA,NA,"{""Q0"":""It appears that 6in is the largest the blue has as it is the first offered hence it appears that the average will be small.""}"
"23","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",13209.9699999962,0.8,0.1,NA,NA,"judgeSurvey",NA,NA,"{""Q0"":""rough guess at avcerages""}"
"24","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",6353.31000003498,0.6,0.4,0,NA,"2afc",NA,NA,NA
"25","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",6168.3950000006,0.8,0.1,1,NA,"2afc",NA,NA,NA
"26","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",9380.24500000756,0.6,0.4,NA,35,"meanSlider",NA,NA,NA
"27","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",5823.99000006262,0.6,0.4,4,NA,"genModel","third",NA,NA
"28","prolificSample1","2318-19a7fbfd-7dbc-4caa-9acd-44ca52a3a21f",18102.6349999993,0.6,0.4,NA,50,"practice",NA,NA,NA
"29","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",14046.1649999925,0.8,0.1,NA,60,"meanSlider",NA,NA,NA
"30","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",5581.52999996673,0.6,0.4,3,NA,"genModel","fourth",NA,NA
"31","prolificSample1","3830-a7f138a1-53ff-4d39-a048-7b2fce3902b9",6277.7700000006,0.8,0.1,6,NA,"genModel","third",NA,NA
"32","prolificSample1","1345-b518e456-fd7c-40cb-b915-b7b9c522cdfd",3648.38499994949,0.6,0.4,3,NA,"genModel","fifth",NA,NA
