model,samples,burn,lag,verbose,chain,experiment
rsa-pp,1000,7500,100,false,0,replication
rsa-pp,1000,7500,100,false,1,replication
rsa-pp,1000,7500,100,false,2,replication
rsa-pp,1000,7500,100,false,3,replication
mas-pp-het-simple,1000,7500,100,false,0,replication
mas-pp-het-simple,1000,7500,100,false,1,replication
mas-pp-het-simple,1000,7500,100,false,2,replication
mas-pp-het-simple,1000,7500,100,false,3,replication
mas-pp-hom,1000,7500,100,false,0,replication
mas-pp-hom,1000,7500,100,false,1,replication
mas-pp-hom,1000,7500,100,false,2,replication
mas-pp-hom,1000,7500,100,false,3,replication
