model,samples,burn,lag,verbose,chain,experiment
aa-hom,1000,7500,100,false,0,replication
aa-hom,1000,7500,100,false,1,replication
aa-hom,1000,7500,100,false,2,replication
aa-hom,1000,7500,100,false,3,replication
aa-hom,1000,7500,100,false,4,replication
aa-hom,1000,7500,100,false,5,replication
mas-hom,1000,7500,100,false,0,replication
mas-hom,1000,7500,100,false,1,replication
mas-hom,1000,7500,100,false,2,replication
mas-hom,1000,7500,100,false,3,replication
mas-hom,1000,7500,100,false,4,replication
mas-hom,1000,7500,100,false,5,replication
mas-het,1000,7500,100,false,0,replication
mas-het,1000,7500,100,false,1,replication
mas-het,1000,7500,100,false,2,replication
mas-het,1000,7500,100,false,3,replication
mas-het,1000,7500,100,false,4,replication
mas-het,1000,7500,100,false,5,replication
rsa-hom,1000,7500,50,false,0,replication
rsa-hom,1000,7500,50,false,1,replication
rsa-hom,1000,7500,50,false,2,replication
rsa-hom,1000,7500,50,false,3,replication
rsa-hom,1000,7500,50,false,4,replication
rsa-hom,1000,7500,50,false,5,replication
rsa-het,1000,7500,100,false,0,replication
rsa-het,1000,7500,100,false,1,replication
rsa-het,1000,7500,100,false,2,replication
rsa-het,1000,7500,100,false,3,replication
rsa-het,1000,7500,100,false,4,replication
rsa-het,1000,7500,100,false,5,replication
rsa-het-speakers,1000,7500,50,false,0,replication
rsa-het-speakers,1000,7500,50,false,1,replication
rsa-het-speakers,1000,7500,50,false,2,replication
rsa-het-speakers,1000,7500,50,false,3,replication
rsa-het-speakers,1000,7500,50,false,4,replication
rsa-het-speakers,1000,7500,50,false,5,replication
rsa-het-speakers-hi,1000,2000,50,false,0,replication
rsa-het-speakers-hi,1000,2000,50,false,1,replication
rsa-het-speakers-hi,1000,2000,50,false,2,replication
rsa-het-speakers-hi,1000,2000,50,false,3,replication
rsa-het-speakers-hi,1000,2000,50,false,4,replication
rsa-het-speakers-hi,1000,2000,50,false,5,replication
