model,experiment,lppd,pwaic2,elppd_waic,se_elppd_waic,loo,se_loo
aa-hom,original,-236.43289405136753,445760796.1467252,891522065.1592385,45156723.70016384,23515296.776995823,1182921.7272246764
aa-hom,replication,-376.64718719500405,419545277.6214689,839091308.5373122,30412528.574464794,25371400.588835727,1070337.5075608774
aa-hom-adding,original,-464.4015731909717,436588857.56529194,873178643.9337302,43904719.18497103,23433326.123137303,1169046.8713288822
aa-hom-adding,replication,-634.9510827861166,417225054.98973906,834451379.8816437,30084919.345435303,25350267.72863259,1057991.3550559257
mas-het-simple,original,298.0791632918076,175.85295788891182,-244.4524108057916,10.239709277836885,10.842633342066762,23.230168319413007
mas-het-simple,replication,347.07544696979966,228.69264583902427,-236.76560226155078,9.07836191116733,73.6772574254858,20.14770362106583
mas-het-simple-adding,original,321.0069513413104,198.73322621224764,-244.54745025812554,10.420754164507144,58.924048844963764,30.254894608084356
mas-het-simple-adding,replication,260.6727850345878,163.442307584329,-194.46095490051755,10.935482840704196,-19.456420234298417,13.77333044294917
mas-het-speakers,original,287.1814311724446,171.06199363784276,-232.2388750692037,10.907476324634763,-41.99382592490366,16.39057585718879
mas-het-speakers,replication,322.40827522661266,215.77651460607674,-213.26352124107183,9.798963415955741,72.00419024304017,20.837219950992864
mas-het-speakers-adding,original,342.28014709812845,199.55086562919746,-285.458562937862,11.004477059858193,26.676056093405982,31.294101450408057
mas-het-speakers-adding,replication,326.562646913744,209.64723416037185,-233.8308255067443,11.595120731522233,50.37949387511466,21.403988699377912
mas-hom,original,-125.85475906609679,975251765.8453381,1950503783.4001944,93733651.41085322,49377810.26245986,2365391.670866202
mas-hom,replication,-167.34746813267142,816363415.379878,1632727165.4546924,64448764.90905432,47813297.904374465,2084759.8139483782
mas-hom-adding,original,-123.20684158491146,1023999635.659431,2047999517.7325451,115801768.16385897,47822247.7200581,2498633.4005594375
mas-hom-adding,replication,-151.76193218302396,877369816.2385375,1754739936.0009394,85834475.34745066,46078319.07118149,2268985.7078786925
rsa-hom,original,-80.36280156577455,232629242159.75412,465258484480.2338,27260943281.2303,560173489.735656,29434577.181597017
rsa-hom,replication,-97.99186694654288,2865823818.109274,5731647832.202282,275617012.268535,75976791.41460258,3678897.092490905
rsa-het-simple,original,369.67677495601356,43792.184812668056,86845.01607542408,5347.39351668006,150601.19507284908,14756.162265701261
rsa-het-simple,replication,326.58883306765256,239.8126586543067,-173.55234882669174,14.428992463080293,45.36094028000721,24.76088830124314
rsa-het-speakers,original,355.62097091668323,182.29929442221822,-346.64335298893,11.734201254197508,-10.33036286796505,32.31099993362706
rsa-het-speakers,replication,345.84094520274346,198.8999946852149,-293.8819010350571,11.912164811472257,-39.57596651165262,20.596255968182025
rsa-het-speakers-hi,original,349.0036970522054,2843.505861658648,4989.004329212885,377.38232172979036,5518.151862584922,1939.7085063626048
rsa-het-speakers-hi,replication,343.0477236140899,193.0898532167925,-299.91574079459474,11.470588734425924,-59.3069905045077,18.743015215498392
