model,score,ci_low,ci_high,standard_error
aa-hom,2.6138108423541877,-1.0481892124435632,7.021354123117355,2.049174237650746
aa-hom-adding,2.533376673747625,-0.8220103943170142,6.363741579157361,1.848916569793987
mas-het-simple,7.868339364996705,5.677124905667899,10.338468541003552,1.1916703545511529
mas-het-simple-adding,9.220576911799576,6.887783754917909,12.289226964639282,1.3538275978544019
mas-het-speakers,7.591356859319129,5.537270869139959,9.673473273862674,1.0626257757025792
mas-het-speakers-adding,9.55762938661358,7.117431898165309,13.356075604321878,1.5496190340720668
mas-hom,3.048983523436886,-0.5623703065782655,7.504535980691021,2.045657649767588
mas-hom-adding,3.8965986736978393,0.32719638596310563,8.956432436815303,2.136342485310298
rsa-het-simple,10.918261358397665,8.776448794932385,14.777887844716982,1.4245718934889602
rsa-het-speakers,10.93882768235171,8.805386684282142,13.469411385189986,1.1949743435704827
rsa-het-speakers-hi,11.562463780651363,9.066695083849053,13.919799072645736,1.2420458027216692
rsa-hom,4.254590841271002,1.0936796859388642,8.705286177859072,1.8901931087417214
