sharedParams.logitSigma,groupParams.noise.nSticks,groupParams.noise.agentBias,groupParams.J0.nSticks,groupParams.J0.agentBias,groupParams.J1.nSticks,groupParams.J1.agentBias,means.0.9,means.0.8,means.0.7,means.0.4,means.0.2
0.1051752879115165,5,0,4,0,5,7.484270970508193,"[0.3324937664351687, 0.28490468331551255, 0.38260155024931874]","[0.38504016051130613, 0.4098025159900715, 0.2051573234986223]","[0.5375707027327854, 0.38515879569401074, 0.07727050157320392]","[0.29704859759941143, 0.1861789181960294, 0.5167724842045591]","[0.5613414335853655, 0.11226717702148321, 0.32639138939315127]"
0.11187921973349631,5,0,5,0,5,8.951043282804045,"[0.3755628496520693, 0.25366076351429995, 0.3707763868336307]","[0.4597167104851692, 0.4820900887903897, 0.05819320072444104]","[0.5484697855176104, 0.42695499148850563, 0.024575222993884007]","[0.5042789309745026, 0.15093018174692627, 0.34479088727857116]","[0.7658504781763199, 0.14122355505853287, 0.09292596676514724]"
0.13389765416560342,5,0,4,0,5,8.575933351913058,"[0.12411407020552488, 0.36186593395612765, 0.5140199958383473]","[0.2663048884197378, 0.5840679474210932, 0.14962716415916888]","[0.6306434325437745, 0.3649674357743, 0.00438913168192561]","[0.3134371106592229, 0.12688420399152384, 0.5596786853492534]","[0.40866261099088474, 0.5704911492741264, 0.020846239734989072]"
0.10782577066759583,5,0,4,0,5,8.624448309157128,"[0.3060391873963515, 0.30671011275464133, 0.3872506998490071]","[0.28805541208419394, 0.4445885515458781, 0.267356036369928]","[0.635642733798001, 0.3617827492187746, 0.002574516983224296]","[0.26688015097597023, 0.3193748368017371, 0.4137450122222928]","[0.03127814603226132, 0.5208414785186579, 0.4478803754490808]"
0.12031120111423534,5,0,4,0,5,9.882677505911058,"[0.21349698140819634, 0.30477333105147636, 0.4817296875403274]","[0.2547594338867881, 0.5584973156564237, 0.18674325045678827]","[0.5553295699901505, 0.3852147659007524, 0.059455664109097126]","[0.1494199243625798, 0.40407565628042974, 0.4465044193569905]","[0.4784849921410792, 0.11078708322613671, 0.4107279246327841]"
0.13338711486219534,5,0,4,0,5,7.376710077632801,"[0.26519798237140507, 0.2511506348868352, 0.48365138274175973]","[0.3917849475056785, 0.4918076597900473, 0.11640739270427417]","[0.5481317604297771, 0.3606359618457916, 0.09123227772443122]","[0.3605833603025735, 0.3165563672296181, 0.3228602724678085]","[0.830811768303892, 0.08953235945077202, 0.0796558722453359]"
0.09838811191045126,5,0,4,0,5,7.925134534535425,"[0.3259055810142864, 0.2932020983187306, 0.38089232066698286]","[0.2702421670870191, 0.5680135112568976, 0.1617443216560833]","[0.5639059199476059, 0.4221277210597474, 0.013966358992646588]","[0.24658524846206578, 0.303339729192079, 0.45007502234585517]","[0.29433052528245274, 0.24092791304803568, 0.4647415616695115]"
0.14981344502408933,5,0,5,0,5,9.240505278276014,"[0.17648877547909472, 0.3719451649371566, 0.4515660595837486]","[0.21366317343721694, 0.5320985003717401, 0.25423832619104303]","[0.46029899420287784, 0.40028274721458557, 0.13941825858253654]","[0.6936879804864803, 0.12182353333284751, 0.1844884861806723]","[0.3255151073860512, 0.5430179936244492, 0.1314668989894995]"
0.12434534284852032,5,0,4,0,5,9.876790730896563,"[0.23125921551522013, 0.3148613875352588, 0.45387939694952095]","[0.4192728545893074, 0.5625422318567073, 0.0181849135539854]","[0.6992090946419679, 0.3004067988771543, 0.00038410648087774203]","[0.4516287036613462, 0.18379928814357552, 0.36457200819507835]","[0.49920173013687474, 0.17917311190121143, 0.3216251579619139]"
0.1351122729453658,5,0,5,0,5,9.221060333229623,"[0.3568073917428184, 0.23245801461395546, 0.41073459364322606]","[0.25950210187441164, 0.6664142929527711, 0.07408360517281729]","[0.5399237930842482, 0.4159819908121064, 0.04409421610364543]","[0.28475146120413924, 0.07207702721848078, 0.6431715115773801]","[0.5250492841277342, 0.46598754128575653, 0.008963174586509382]"
