nSticks,agentBias,stick,belief
3,0,0,0.17355371900826466
3,0,0.1,0.23140495867768618
3,0,0.2,0.29752066115702525
3,0,0.3,0.37190082644628136
3,0,0.4,0.454545454545455
3,0,0.5,0.5454545454545459
3,0,0.6,0.6198347107438024
3,0,0.7,0.6942148760330584
3,0,0.8,0.7685950413223148
3,0,0.9,0.8264462809917364
3,0,1,0.8760330578512404
3,1,0,0.11472139172460814
3,1,0.1,0.1606991574529093
3,1,0.2,0.21710879804524608
3,1,0.3,0.28484487700198763
3,1,0.4,0.3645921889136895
3,1,0.5,0.45679075041955036
3,1,0.6,0.5354360171896563
3,1,0.7,0.6169611021198318
3,1,0.8,0.7017787704328092
3,1,0.9,0.7706169688025235
3,1,1,0.8319477346495517
3,3,0,0.03202609148704374
3,3,0.1,0.05208275766638648
3,3,0.2,0.08467955271180833
3,3,0.3,0.13595664804387014
3,3,0.4,0.21216441120771953
3,3,0.5,0.31696340827103653
3,3,0.6,0.41876335646969276
3,3,0.7,0.5300320413580966
3,3,0.8,0.6471476857850028
3,3,0.9,0.7390131206752051
3,3,1,0.8166304127826663
3,10,0,0.000005014447260904509
3,10,0.1,0.000027622098066507024
3,10,0.2,0.00021654245804875159
3,10,0.3,0.001745153748976429
3,10,0.4,0.013092804925509106
3,10,0.5,0.07953391200168602
3,10,0.6,0.22966116138700393
3,10,0.7,0.43179972625907637
3,10,0.8,0.6355026446693142
3,10,0.9,0.761015940062373
3,10,1,0.8449025353042958
3,30,0,4.0753274074404833e-19
3,30,0.1,1.5882061620755941e-15
3,30,0.2,4.04352676634042e-12
3,30,0.3,1.1888778356512022e-8
3,30,0.4,0.000012032283965104632
3,30,0.5,0.01420938381383854
3,30,0.6,0.15436013184938058
3,30,0.7,0.36814409125720426
3,30,0.8,0.6207639642870745
3,30,0.9,0.7701615372126283
3,30,1,0.8597094870460309
3,100,0,1.776159013163415e-64
3,100,0.1,4.1592631196042395e-49
3,100,0.2,6.290250102110933e-38
3,100,0.3,2.6488744304923427e-24
3,100,0.4,4.167605292822614e-15
3,100,0.5,0.010989414776941578
3,100,0.6,0.14960819820989713
3,100,0.7,0.36095295445131004
3,100,0.8,0.6129698490960875
3,100,0.9,0.7676490535633231
3,100,1,0.8639740359903865
4,0,0,0.21337340345604558
4,0,0.1,0.2682193839218595
4,0,0.2,0.32982719759578877
4,0,0.3,0.3944402704733232
4,0,0.4,0.46431254695716934
4,0,0.5,0.5311795642374074
4,0,0.6,0.593538692712241
4,0,0.7,0.658151765589778
4,0,0.8,0.7280240420736223
4,0,0.9,0.7836213373403399
4,0,1,0.8332081141998467
4,1,0,0.16226592314628535
4,1,0.1,0.20999435238525943
4,1,0.2,0.2656944364008667
4,1,0.3,0.32633531516855363
4,1,0.4,0.39421709368985947
4,1,0.5,0.4614011042568116
4,1,0.6,0.5259475163162229
4,1,0.7,0.5945871794351184
4,1,0.8,0.6708283159831971
4,1,0.9,0.7332558850231596
4,1,1,0.790303990363874
4,3,0,0.08315118186177564
4,3,0.1,0.11367153382851004
4,3,0.2,0.15455567156824354
4,3,0.3,0.20581825643759696
4,3,0.4,0.2720003509873054
4,3,0.5,0.34523560287802746
4,3,0.6,0.42132829592053134
4,3,0.7,0.5064874445081977
4,3,0.8,0.6035345850917455
4,3,0.9,0.6827642369589941
4,3,1,0.7543542087934612
4,10,0,0.0003944959710705643
4,10,0.1,0.000873750159153384
4,10,0.2,0.0027286030442813724
4,10,0.3,0.009051910283214528
4,10,0.4,0.03075135714842849
4,10,0.5,0.08665533859619728
4,10,0.6,0.19276373596670698
4,10,0.7,0.3542408130182954
4,10,0.8,0.5465486311937342
4,10,0.9,0.6788422633436636
4,10,1,0.7759246455613555
4,30,0,2.029295182153097e-14
4,30,0.1,3.497726121842009e-12
4,30,0.2,1.3753098297301964e-9
4,30,0.3,3.185950389620607e-7
4,30,0.4,0.00005397873603488313
4,30,0.5,0.00474176367181673
4,30,0.6,0.07033885862183795
4,30,0.7,0.24300064705798136
4,30,0.8,0.4978568352960285
4,30,0.9,0.6814025360930264
4,30,1,0.8009727172247678
4,100,0,4.025546455588205e-49
4,100,0.1,1.20044955907742e-39
4,100,0.2,6.2559139262257485e-28
4,100,0.3,7.51017584532525e-20
4,100,0.4,1.4889461326774242e-12
4,100,0.5,0.0014915443172318678
4,100,0.6,0.06124323000615815
4,100,0.7,0.23186688695930302
4,100,0.8,0.48084553057907437
