iterationName,context_id,gameid,time,trialNum,repNum,targetImg,msg,timeFromRoundStart,rt,agent1stick,agent2stick,quizAttempts,button_pressed,response,stimulus_type,stimulus_contestant,trial-index,chosenStick,responses
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,5992,0.1,0.7,,,,,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,5064,0.1,0.7,,0,,,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,4069,0.1,0.7,,0,,,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,3804,0.1,0.7,,0,,,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,4963,0.1,0.7,,0,,,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,3935,0.1,0.7,,0,,,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,4295,0.1,0.7,,0,,,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,4530,0.1,0.7,,,50,practice,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,2376,0.1,0.7,,0,,,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,7113,0.1,0.7,,,,,,,,"{""Q0"":""The contestants"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""2"",""Q3"":""Average"",""Q4"":""True""}"
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,4067,0.1,0.7,,0,,,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,7952,0.1,0.7,,0,,speakerTrial,first,,2in,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,6004,0.1,0.7,,3,,speakerTrial,second,,9in,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,5697,0.1,0.7,,0,,speakerTrial,third,,4in,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,5876,0.1,0.7,,1,,speakerTrial,fourth,,8in,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,11093,0.1,0.7,,,,speakerSurvey,,,,"{""Q0"":""This is Sam testing the experiment.""}"
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,4814,0.1,0.7,,0,,,,,,
prolificSample2,,0536-435bdb21-6e45-4d6b-8b8e-3576c61d0f2f,,,,,,,,0.1,0.7,,,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,903,0.1,0.9,,,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,1044,0.1,0.9,,0,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,4013,0.1,0.9,,0,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,3941,0.1,0.9,,0,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,3590,0.1,0.9,,0,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,3821,0.1,0.9,,0,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,3844,0.1,0.9,,0,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,5303,0.1,0.9,,,50,practice,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,2547,0.1,0.9,,0,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,8812,0.1,0.9,,,,,,,,"{""Q0"":""The contestants"",""Q1"":""A contestant chooses a stick to show you"",""Q2"":""2"",""Q3"":""Average"",""Q4"":""True""}"
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,4006,0.1,0.9,,0,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,9406,0.1,0.9,,0,,speakerTrial,first,,2in,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,5532,0.1,0.9,,3,,speakerTrial,second,,9in,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,5665,0.1,0.9,,0,,speakerTrial,third,,4in,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,5537,0.1,0.9,,1,,speakerTrial,fourth,,8in,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,13871,0.1,0.9,,,,speakerSurvey,,,,"{""Q0"":""This is Sam testing the experiment.""}"
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,6880,0.1,0.9,,0,,,,,,
prolificSample2,,3137-5d6ef40e-0d73-4bd5-b213-2c56977b547d,,,,,,,,0.1,0.9,,,,,,,,
prolificSample2,,5163-1badc59a-f5d5-46dc-989f-d0c817330eac,,,,,,,4679,0.2,0.7,,,,,,,,
prolificSample2,,1738-25f459a0-6e19-4cc5-a242-d74a92b2c6e7,,,,,,,1668,0.3,0.7,,,,,,,,
prolificSample2,,9436-4d899a32-9301-43fc-986e-a7a90773744d,,,,,,,3044.785000000047,0.3,0.9,,,,,,,,
prolificSample2,,9237-e144ca9d-2ce4-47d0-a250-740fae424cbb,,,,,,,1165,0.2,0.9,,,,,,,,
prolificSample2,,8698-99b9b394-bdcc-4baa-a6fb-ec27db5cf03b,,,,,,,3309.3300000182353,0.1,0.7,,,,,,,,
prolificSample2,,4394-f44195a3-c5b3-4263-8aae-76bdba05409e,,,,,,,2863.710000005085,0.2,0.7,,,,,,,,
prolificSample2,,5349-5fd06898-c420-495c-bbb9-1630100dbb5e,,,,,,,1725.8250000013504,0.3,0.7,,,,,,,,
prolificSample2,,3282-66c907bb-1f85-406e-a60d-5d6543627186,,,,,,,2959,0.1,0.9,,,,,,,,
prolificSample2,,9237-e144ca9d-2ce4-47d0-a250-740fae424cbb,,,,,,,1589,0.2,0.9,,0,,,,,,
prolificSample2,,4394-f44195a3-c5b3-4263-8aae-76bdba05409e,,,,,,,1516.0500000056345,0.2,0.7,,0,,,,,,
prolificSample2,,4458-c2d75648-933f-43ec-8391-6f19b7156794,,,,,,,3490.0299999999334,0.4,0.7,,,,,,,,
prolificSample2,,5150-44a74aa7-b108-4cc2-a590-2640a0e04b65,,,,,,,3597,0.4,0.9,,,,,,,,
prolificSample2,,4351-b06cda3e-2de3-4b3b-9924-252b3afe54ce,,,,,,,2165.8799999859184,0.1,0.7,,,,,,,,
prolificSample2,,5349-5fd06898-c420-495c-bbb9-1630100dbb5e,,,,,,,3494.1000000035274,0.3,0.7,,0,,,,,,
prolificSample2,,6593-830df485-a021-4aa7-93ce-397c491756e9,,,,,,,3200.8199999690987,0.1,0.7,,,,,,,,
prolificSample2,,3324-fd046cdc-517e-466a-9665-315cc66a0aa4,,,,,,,5022.699999999531,0.1,0.9,,,,,,,,
prolificSample2,,7152-51b441a2-9890-4540-a670-8c07d1852ce5,,,,,,,5049.314999982016,0.2,0.7,,,,,,,,
prolificSample2,,3195-38eb9370-a34f-4fc4-a4c4-dbd0586942ec,,,,,,,2983.010000025388,0.3,0.7,,,,,,,,
prolificSample2,,4394-f44195a3-c5b3-4263-8aae-76bdba05409e,,,,,,,4846.199999999953,0.2,0.7,,0,,,,,,
prolificSample2,,1806-f2683ac9-00fb-4903-8f30-a09046d34f34,,,,,,,5453.899999999521,0.3,0.7,,,,,,,,
prolificSample2,,9237-e144ca9d-2ce4-47d0-a250-740fae424cbb,,,,,,,6339,0.2,0.9,,0,,,,,,
prolificSample2,,1564-3a96f66b-9ff2-473b-bc9e-30dc90e1f235,,,,,,,4581.760000000941,0.2,0.7,,,,,,,,
prolificSample2,,5349-5fd06898-c420-495c-bbb9-1630100dbb5e,,,,,,,4566.8250000017,0.3,0.7,,0,,,,,,
prolificSample2,,5310-7c7f2a00-b1c3-4b90-8880-bb134a3b49e6,,,,,,,4539.589999942109,0.2,0.9,,,,,,,,
prolificSample2,,7152-51b441a2-9890-4540-a670-8c07d1852ce5,,,,,,,3169.4200000201818,0.2,0.7,,0,,,,,,
prolificSample2,,3762-3651afd5-301e-4481-90f8-4bcd1f8be7c2,,,,,,,4189.925000071526,0.1,0.7,,,,,,,,
prolificSample2,,8698-99b9b394-bdcc-4baa-a6fb-ec27db5cf03b,,,,,,,9934.520000009798,0.1,0.7,,0,,,,,,
prolificSample2,,9082-b2f0caa9-8e56-43d3-892f-934ca8f1bdb1,,,,,,,4038,0.1,0.9,,,,,,,,
