model,fold,score
mas-het-simple,2,6.934477292543085
mas-het-simple,1,12.505003619902185
mas-het-simple,0,2.837075382703964
mas-het-simple,5,8.321369237310076
mas-het-simple,4,14.150887651767567
mas-het-simple,3,3.5368479660247205
mas-het-simple,8,5.904125157196231
mas-het-simple,6,3.0357943016149336
mas-het-simple,7,3.79378096132025
mas-het-simple,9,17.063556549481458
mas-het-speakers,0,2.7816752766437367
mas-het-speakers,1,10.102671412356004
mas-het-speakers,4,12.35225400919307
mas-het-speakers,2,8.68587689884552
mas-het-speakers,3,2.225206642193453
mas-het-speakers,7,1.5207047573565602
mas-het-speakers,6,2.7945452558305677
mas-het-speakers,5,3.178374404477254
mas-het-speakers,8,5.571210138749057
mas-het-speakers,9,16.441584848897573
rsa-het-simple,0,5.438037363001505
rsa-het-simple,1,12.669583377568467
rsa-het-simple,3,6.3833317440503405
rsa-het-simple,2,7.863031500391722
rsa-het-simple,5,8.053354122842247
rsa-het-simple,6,4.960783856438033
rsa-het-simple,4,12.412991905526269
rsa-het-simple,7,6.018237424703594
rsa-het-simple,8,6.581043263599223
rsa-het-simple,9,19.002910770543554
rsa-het-speakers,0,6.494220126536347
rsa-het-speakers,2,9.78787784519701
rsa-het-speakers,1,11.742321940182372
rsa-het-speakers,5,12.761747902964872
rsa-het-speakers,3,7.365501925102591
rsa-het-speakers,4,14.949457277543235
rsa-het-speakers,8,7.464062921515275
rsa-het-speakers,6,5.424845645617932
rsa-het-speakers,7,7.21656355468479
rsa-het-speakers-hi,1,12.85481086791949
rsa-het-speakers,9,16.118805089481278
rsa-het-speakers-hi,0,5.59189294347409
rsa-het-speakers-hi,2,9.478672518648736
rsa-het-speakers-hi,3,11.729645037175638
rsa-het-speakers-hi,4,17.356331192906282
rsa-het-speakers-hi,5,7.5626174094865535
rsa-het-speakers-hi,7,5.2122685602424035
rsa-het-speakers-hi,6,8.678631595446957
rsa-het-speakers-hi,9,20.459956733319228
rsa-het-speakers-hi,8,7.2691416169539735
rsa-hom,6,-15.383302348284204
rsa-hom,4,8.338347907559196
rsa-hom,9,11.143221299534673
rsa-hom,8,-24.197430048165515
rsa-hom,2,-14.845591201306814
rsa-hom,3,-34.03266155019305
rsa-hom,5,-5.260171729061385
rsa-hom,7,-38.59139961663294
rsa-hom,1,-23.95029010442389
rsa-hom,0,-41.893508183437035
