agent1stick,belief
0.8,0.86
0.8,0.66
0.8,0.6
0.6,0.61
0.8,1
0.6,0.23
0.6,1
0.8,0.33
0.6,0.6
0.6,0.59
0.6,0.71
0.6,0.41
0.8,0.29
0.8,1
0.8,0.7
0.6,0.22
0.8,0.55
0.6,0.42
0.8,1
0.8,0.5
0.6,0
0.6,0.32
0.6,0.59
0.8,0.59
0.8,0.72
0.8,0.62
0.6,1
0.6,0.54
0.8,0.61
0.8,0.75
0.6,0.39
0.8,0.12
0.6,0.16
0.6,0.31
0.8,0.33
0.6,0.57
0.6,0.21
0.6,0.59
0.6,0.53
0.6,0.49
0.6,0.56
0.8,0.86
0.8,0.89
0.8,0
0.8,0.6
0.6,0.89
0.6,0.68
0.8,0.78
0.8,0.77
0.8,0.55
0.8,1
0.8,1
0.6,0.58
0.6,0
0.6,0.39
0.6,0.42
0.6,0.41
0.6,0.37
0.6,0.55
0.6,0.69
0.6,0.52
0.8,0.61
0.6,0
0.6,0.72
0.8,0.67
0.8,0.69
0.6,0.32
0.8,0.74
0.6,0.53
0.6,0.43
0.8,0.75
0.6,0.74
0.6,0.62
0.6,1
0.8,0.29
0.6,0.53
0.7,0.67
0.9,1
0.9,0.64
0.9,0.64
0.9,0.74
0.7,0.24
0.7,0.72
0.7,0.58
0.7,0.67
0.7,0.15
0.9,0.79
0.7,0.17
0.7,0.63
0.9,1
0.7,0.51
0.9,0.41
0.7,0.65
0.7,0.84
0.9,1
0.9,0.91
0.9,0.65
0.9,0.64
0.7,1
0.9,0.58
0.9,0.56
0.7,0.27
0.9,0.12
0.9,0.36
0.7,0.19
0.7,0.43
0.7,0.68
0.7,0.27
0.9,0.58
0.9,1
0.7,0.34
0.9,0.97
0.7,0.38
0.9,0.88
0.9,0.77
0.7,0.38
0.7,0.44
0.7,0.71
0.9,0.59
0.9,0.9
0.9,0.65
0.9,0.29
0.7,0.86
0.9,0.66
0.9,0.63
0.9,1
0.7,1
0.7,0.67
0.7,0.83
0.9,0.84
0.9,0.82
0.7,0.39
0.9,1
0.7,0.63
0.7,1
0.7,0.37
0.9,0.81
0.7,0.64
0.9,0.63
0.9,0.9
0.7,0.09
0.9,0
0.7,0.72
0.9,0.74
0.7,0.56
0.9,1
0.9,0.79
0.7,0.76
0.9,0.91
0.9,0.84
0.9,0.98
0.7,0.47
0.7,0.37
0.9,0.8
0.7,0.58
