isLong,bias1,bias2,prob
true,-1,-1,0.021099067194206712
true,-1,-5,0.02905218017482635
true,-1,5,0.012899143283540616
true,-1,1,0.017830339027507327
true,-1,0,0.009839575737803169
true,-5,-1,0.0037993538736634867
true,-5,-5,0.006322064530895973
true,-5,5,0.0018128734746671775
true,-5,1,0.002904666253348183
true,-5,0,0.001680714132420149
true,5,-1,0.10201248208875978
true,5,-5,0.1265422346135329
true,5,5,0.07677917330546208
true,5,1,0.09199487697956293
true,5,0,0.049096018063709355
true,1,-1,0.04221186405696968
true,1,-5,0.0539885418253544
true,1,5,0.028982548890190175
true,1,1,0.03711950840553525
true,1,0,0.020086093206838712
true,0,-1,0.015428239155837964
true,0,-5,0.020350300810090233
true,0,5,0.010031869901980604
true,0,1,0.013331439300918933
true,0,0,0.007277959326244273
false,-1,-1,0.002317222379064196
false,-1,-5,0.0010492728248339689
false,-1,5,0.006658996839402553
false,-1,1,0.003362436943286216
false,-1,0,0.0014135087426180584
false,-5,-1,0.00013387953175188989
false,-5,-5,0.00006368880543354708
false,-5,5,0.0003741122255503946
false,-5,1,0.0001911351047514995
false,-5,0,0.00008093623989015823
false,5,-1,0.019262939546898866
false,5,-5,0.008643960798318032
false,5,5,0.05593892259617533
false,5,1,0.028086130256062387
false,5,0,0.011779403943529287
false,1,-1,0.006926776611814083
false,1,-5,0.0030999873003615197
false,1,5,0.020155708271877647
false,1,1,0.010110280557731142
false,1,0,0.004238184127072711
false,0,-1,0.002127129017826558
false,0,-5,0.000955910735562409
false,0,5,0.006158666334917181
false,0,1,0.003097699716070485
false,0,0,0.0012999829353336186
