isLong,bias0,bias1,prob
long,-5,-5,0.0060043566599792585
long,-5,5,0.0060043566599792585
long,-5,0,0.001334301479995395
long,5,-5,0.20931896284442023
long,5,5,0.20931896284442023
long,5,0,0.04651532507653759
long,0,-5,0.0237799030143973
long,0,5,0.0237799030143973
long,0,0,0.005284422892088286
short,-5,-5,0.000059202248905308596
short,-5,5,0.000059202248905308596
short,-5,0,0.000013156055312290512
short,5,-5,0.2030142195174639
short,5,5,0.2030142195174639
short,5,0,0.045114271003880796
short,0,-5,0.007823355714834371
short,0,5,0.007823355714834371
short,0,0,0.001738523492185415
