,numExp,biasPrior,stick,biasVal,biasProb
0,0,flat,0.025,0,0.10322200458767414
1,0,flat,0.025,2,0.025121655852314625
2,0,flat,0.025,5,0.0019737246322767965
3,0,flat,0.025,10,3.7077038090388487e-05
4,1,v,0.025,0,0.02156235544713914
5,1,v,0.025,2,0.010495476716851016
6,1,v,0.025,5,0.0016491891334963812
7,1,v,0.025,10,6.196107331382268e-05
8,2,flat,0.075,0,0.11084368597009014
9,2,flat,0.075,2,0.03352019034701238
10,2,flat,0.075,5,0.00372195353545261
11,2,flat,0.075,10,0.00012345958324812953
12,3,v,0.075,0,0.023718203706525786
13,3,v,0.075,2,0.014345223112600124
14,3,v,0.075,5,0.0031856772487306143
15,3,v,0.075,10,0.0002113419105021157
16,4,flat,0.125,0,0.12023127300535089
17,4,flat,0.125,2,0.044322935881845375
18,4,flat,0.125,5,0.006769140491856391
19,4,flat,0.125,10,0.00037944653316890066
20,5,v,0.125,0,0.026569574982539187
21,5,v,0.125,2,0.019589604915961605
22,5,v,0.125,5,0.005983574202286518
23,5,v,0.125,10,0.0006708226811802618
24,6,flat,0.175,0,0.13091527696362806
25,6,flat,0.175,2,0.057358002839052694
26,6,flat,0.175,5,0.011594926605221094
27,6,flat,0.175,10,0.001031931553940719
28,7,v,0.175,0,0.03009174069827985
29,7,v,0.175,2,0.02636823124750376
30,7,v,0.175,5,0.010660681714536298
31,7,v,0.175,10,0.001897570242970774
32,8,flat,0.225,0,0.1430742999336046
33,8,flat,0.225,2,0.07337355672875333
34,8,flat,0.225,5,0.019180357465186065
35,8,flat,0.225,10,0.002604223410481979
36,9,v,0.225,0,0.03449369081868124
37,9,v,0.225,2,0.035379167065547154
38,9,v,0.225,5,0.018496720109843393
39,9,v,0.225,10,0.005022804357491109
40,10,flat,0.275,0,0.15589145032709575
41,10,flat,0.275,2,0.09201049404000808
42,10,flat,0.275,5,0.03025948656640258
43,10,flat,0.275,10,0.005899861879382891
44,11,v,0.275,0,0.03964775965883772
45,11,v,0.275,2,0.04680192462299665
46,11,v,0.275,5,0.03078349321318843
47,11,v,0.275,10,0.012004060790931255
