,numExp,stick1,stick2,judge,agentBias,nSticks,p_isLong_1,p_isLong_2,delta
0,0,0.5,0.0,J0,2.0,3.0,0.5468277945619334,0.09999999999999998,-0.44682779456193344
1,0,0.5,0.0,J1,2.0,3.0,0.3922802043383459,0.06846438505262699,-0.3238158192857189
2,1,0.5,0.0,J0,2.0,4.0,0.5294117647058824,0.19966722129783698,-0.3297445434080454
3,1,0.5,0.0,J1,2.0,4.0,0.41480806571654955,0.16965110778077008,-0.24515695793577946
4,2,0.5,0.0,J0,2.0,5.0,0.5284598122880865,0.25223880597014825,-0.2762210063179382
5,2,0.5,0.0,J1,2.0,5.0,0.43803472257061654,0.21991831937179226,-0.21811640319882428
6,3,0.5,0.0,J0,5.0,3.0,0.5468277945619334,0.09999999999999998,-0.44682779456193344
7,3,0.5,0.0,J1,5.0,3.0,0.2292941716347052,0.019494343950811517,-0.20979982768389369
8,4,0.5,0.0,J0,5.0,4.0,0.5294117647058824,0.19966722129783698,-0.3297445434080454
9,4,0.5,0.0,J1,5.0,4.0,0.270196928567846,0.08111718501285504,-0.18907974355499096
10,5,0.5,0.0,J0,5.0,5.0,0.5284598122880865,0.25223880597014825,-0.2762210063179382
11,5,0.5,0.0,J1,5.0,5.0,0.32147305464116643,0.1464011991193961,-0.17507185552177032
12,6,0.5,0.0,J0,10.0,3.0,0.5468277945619334,0.09999999999999998,-0.44682779456193344
13,6,0.5,0.0,J1,10.0,3.0,0.09254154320044823,0.002084307717879992,-0.09045723548256823
14,7,0.5,0.0,J0,10.0,4.0,0.5294117647058824,0.19966722129783698,-0.3297445434080454
15,7,0.5,0.0,J1,10.0,4.0,0.10809070178671491,0.016939900645566,-0.09115080114114892
16,8,0.5,0.0,J0,10.0,5.0,0.5284598122880865,0.25223880597014825,-0.2762210063179382
17,8,0.5,0.0,J1,10.0,5.0,0.1584181953285666,0.049560403505972954,-0.10885779182259364
18,9,0.5,0.1,J0,2.0,3.0,0.5468277945619334,0.2,-0.3468277945619334
19,9,0.5,0.1,J1,2.0,3.0,0.3922802043383459,0.15404642511887343,-0.23823377921947245
20,10,0.5,0.1,J0,2.0,4.0,0.5294117647058824,0.2562396006655574,-0.27317216404032496
21,10,0.5,0.1,J1,2.0,4.0,0.41480806571654955,0.2339742633818538,-0.18083380233469576
22,11,0.5,0.1,J0,2.0,5.0,0.5284598122880865,0.3096517412935319,-0.21880807099455457
23,11,0.5,0.1,J1,2.0,5.0,0.43803472257061654,0.2828058528624181,-0.15522886970819844
24,12,0.5,0.1,J0,5.0,3.0,0.5468277945619334,0.2,-0.3468277945619334
25,12,0.5,0.1,J1,5.0,3.0,0.2292941716347052,0.05142860941682799,-0.1778655622178772
26,13,0.5,0.1,J0,5.0,4.0,0.5294117647058824,0.2562396006655574,-0.27317216404032496
27,13,0.5,0.1,J1,5.0,4.0,0.270196928567846,0.13062258974507962,-0.13957433882276638
28,14,0.5,0.1,J0,5.0,5.0,0.5284598122880865,0.3096517412935319,-0.21880807099455457
