,numExp,stick1,judge,agentBias,nSticks,p_isLong_1
0,0,0.5,J0,2.0,2.0,0.5238095238095238
1,0,0.5,J1,2.0,2.0,0.3466253661826665
2,1,0.5,J0,5.0,2.0,0.5238095238095238
3,1,0.5,J1,5.0,2.0,0.2114198639687625
4,2,0.5,J0,10.0,2.0,0.5238095238095238
5,2,0.5,J1,10.0,2.0,0.13332073797204214
6,3,0.6,J0,2.0,2.0,0.6190476190476191
7,3,0.6,J1,2.0,2.0,0.4743889971958401
8,4,0.6,J0,5.0,2.0,0.6190476190476191
9,4,0.6,J1,5.0,2.0,0.4124574833607624
10,5,0.6,J0,10.0,2.0,0.6190476190476191
11,5,0.6,J1,10.0,2.0,0.3908377985447103
12,6,0.7,J0,2.0,2.0,0.7142857142857144
13,6,0.7,J1,2.0,2.0,0.6103468710893833
14,7,0.7,J0,5.0,2.0,0.7142857142857144
15,7,0.7,J1,5.0,2.0,0.6050821222047545
16,8,0.7,J0,10.0,2.0,0.7142857142857144
17,8,0.7,J1,10.0,2.0,0.6045907551059375
18,9,0.8,J0,2.0,2.0,0.8095238095238095
19,9,0.8,J1,2.0,2.0,0.7463217144970239
20,10,0.8,J0,5.0,2.0,0.8095238095238095
21,10,0.8,J1,5.0,2.0,0.7611471626209583
22,11,0.8,J0,10.0,2.0,0.8095238095238095
23,11,0.8,J1,10.0,2.0,0.7660999037590408
24,12,0.9,J0,2.0,2.0,0.9047619047619047
25,12,0.9,J1,2.0,2.0,0.8769858210285459
26,13,0.9,J0,5.0,2.0,0.9047619047619047
27,13,0.9,J1,5.0,2.0,0.8892765298555732
28,14,0.9,J0,10.0,2.0,0.9047619047619047
29,14,0.9,J1,10.0,2.0,0.893700045204833
30,15,1.0,J0,2.0,2.0,1.0
31,15,1.0,J1,2.0,2.0,1.0
32,16,1.0,J0,5.0,2.0,1.0
33,16,1.0,J1,5.0,2.0,1.0
34,17,1.0,J0,10.0,2.0,1.0
35,17,1.0,J1,10.0,2.0,1.0
