,numExp,stick1,stick2,judge,agentBias,nSticks,recencyBias,p_isLong_1,p_isLong_2,delta
0,0,0.5,0.0,J0,5.0,3.0,1.0,0.5369171316723154,0.4331543491487435,-0.10376278252357185
1,0,0.5,0.0,J1,5.0,3.0,1.0,0.42870868634381254,0.07619929947070195,-0.3525093868731106
2,1,0.5,0.0,J0,5.0,3.0,2.0,0.5369171316723154,0.4894043010511551,-0.04751283062116024
3,1,0.5,0.0,J1,5.0,3.0,2.0,0.3265499048479028,0.010970726222952695,-0.3155791786249501
4,2,0.5,0.0,J0,5.0,3.0,5.0,0.5369171316723154,0.5191943222648517,-0.017722809407463624
5,2,0.5,0.0,J1,5.0,3.0,5.0,0.21196615160521473,1.8523969790427462e-12,-0.21196615160336232
6,3,0.5,0.0,J0,5.0,3.0,10.0,0.5369171316723154,0.5282800815438848,-0.008637050128430523
7,3,0.5,0.0,J1,5.0,3.0,10.0,0.3653160680776298,4.3800475239816844e-49,-0.3653160680776298
8,4,0.5,0.0,J0,5.0,4.0,1.0,0.5279031720276288,0.42734351616179317,-0.10055965586583565
9,4,0.5,0.0,J1,5.0,4.0,1.0,0.42799722148347036,0.16449174180873385,-0.2635054796747365
10,5,0.5,0.0,J0,5.0,4.0,2.0,0.5279031720276288,0.47983918482354937,-0.04806398720407945
11,5,0.5,0.0,J1,5.0,4.0,2.0,0.3375710409231778,0.029233360991956128,-0.3083376799312217
12,6,0.5,0.0,J0,5.0,4.0,5.0,0.5279031720276288,0.5095487972973024,-0.018354374730326417
13,6,0.5,0.0,J1,5.0,4.0,5.0,0.1807971267964849,2.4130093631838438e-08,-0.18079710266639126
14,7,0.5,0.0,J0,5.0,4.0,10.0,0.5279031720276288,0.5188930412116104,-0.009010130816018425
15,7,0.5,0.0,J1,5.0,4.0,10.0,0.1741241293537452,1.714969729945853e-32,-0.1741241293537452
16,8,0.5,0.0,J0,5.0,5.0,1.0,0.5266400180783456,0.4296864115637069,-0.09695360651463869
17,8,0.5,0.0,J1,5.0,5.0,1.0,0.43917568875856267,0.21182193426966742,-0.22735375448889525
18,9,0.5,0.0,J0,5.0,5.0,2.0,0.5266400180783456,0.4786253889414582,-0.04801462913688742
19,9,0.5,0.0,J1,5.0,5.0,2.0,0.35765005119741344,0.05303812460201276,-0.3046119265954007
20,10,0.5,0.0,J0,5.0,5.0,5.0,0.5266400180783456,0.5079217658889534,-0.01871825218939216
21,10,0.5,0.0,J1,5.0,5.0,5.0,0.1950142994631151,2.0838703992068945e-06,-0.1950122155927159
22,11,0.5,0.0,J0,5.0,5.0,10.0,0.5266400180783456,0.5173905366156366,-0.009249481462708986
23,11,0.5,0.0,J1,5.0,5.0,10.0,0.11199196083003157,1.4528982752024288e-23,-0.11199196083003157
24,12,0.5,0.1,J0,5.0,3.0,1.0,0.5369171316723154,0.45348917423962515,-0.08342795743269021
25,12,0.5,0.1,J1,5.0,3.0,1.0,0.42870868634381254,0.16386615803502314,-0.2648425283087894
26,13,0.5,0.1,J0,5.0,3.0,2.0,0.5369171316723154,0.4987155885547886,-0.03820154311752677
27,13,0.5,0.1,J1,5.0,3.0,2.0,0.3265499048479028,0.027847874310020365,-0.29870203053788247
28,14,0.5,0.1,J0,5.0,3.0,5.0,0.5369171316723154,0.5226675351129931,-0.01424959655932223
29,14,0.5,0.1,J1,5.0,3.0,5.0,0.21196615160521473,1.8990817754102172e-11,-0.21196615158622392
30,15,0.5,0.1,J0,5.0,3.0,10.0,0.5369171316723154,0.5299727202664722,-0.0069444114058431206
31,15,0.5,0.1,J1,5.0,3.0,10.0,0.3653160680776298,3.2862262153753635e-45,-0.3653160680776298
32,16,0.5,0.1,J0,5.0,4.0,1.0,0.5279031720276288,0.4468140869566482,-0.08108908507098062
33,16,0.5,0.1,J1,5.0,4.0,1.0,0.42799722148347036,0.22661465816941678,-0.20138256331405358
34,17,0.5,0.1,J0,5.0,4.0,2.0,0.5279031720276288,0.4891454345067082,-0.0387577375209206
35,17,0.5,0.1,J1,5.0,4.0,2.0,0.3375710409231778,0.05742680453173203,-0.28014423639144576
36,18,0.5,0.1,J0,5.0,4.0,5.0,0.5279031720276288,0.5131026097035312,-0.014800562324097655
37,18,0.5,0.1,J1,5.0,4.0,5.0,0.1807971267964849,2.3016449193038536e-07,-0.18079689663199297
38,19,0.5,0.1,J0,5.0,4.0,10.0,0.5279031720276288,0.5206376015764379,-0.007265570451190917
39,19,0.5,0.1,J1,5.0,4.0,10.0,0.1741241293537452,4.770693876636644e-29,-0.1741241293537452
40,20,0.5,0.1,J0,5.0,5.0,1.0,0.5266400180783456,0.4499482240994188,-0.07669179397892678
41,20,0.5,0.1,J1,5.0,5.0,1.0,0.43917568875856267,0.2734712219752426,-0.16570446678332007
42,21,0.5,0.1,J0,5.0,5.0,2.0,0.5266400180783456,0.48865970792675906,-0.03798031015158654
43,21,0.5,0.1,J1,5.0,5.0,2.0,0.35765005119741344,0.08296382885620233,-0.2746862223412111
44,22,0.5,0.1,J0,5.0,5.0,5.0,0.5266400180783456,0.5118335926944905,-0.014806425383855126
45,22,0.5,0.1,J1,5.0,5.0,5.0,0.1950142994631151,1.6929610657713774e-05,-0.1949973698524574
46,23,0.5,0.1,J0,5.0,5.0,10.0,0.5266400180783456,0.5193235359767451,-0.007316482101600519
47,23,0.5,0.1,J1,5.0,5.0,10.0,0.11199196083003157,7.539081811911604e-21,-0.11199196083003157
48,24,0.5,0.2,J0,5.0,3.0,1.0,0.5369171316723154,0.47447347316625543,-0.06244365850605993
49,24,0.5,0.2,J1,5.0,3.0,1.0,0.42870868634381254,0.2639289971981356,-0.16477968914567692
50,25,0.5,0.2,J0,5.0,3.0,2.0,0.5369171316723154,0.5083242692045995,-0.028592862467715863
51,25,0.5,0.2,J1,5.0,3.0,2.0,0.3265499048479028,0.05369206059459009,-0.2728578442533127
52,26,0.5,0.2,J0,5.0,3.0,5.0,0.5369171316723154,0.5262516788818965,-0.010665452790418861
53,26,0.5,0.2,J1,5.0,3.0,5.0,0.21196615160521473,2.001920838426089e-10,-0.21196615140502265
54,27,0.5,0.2,J0,5.0,3.0,10.0,0.5369171316723154,0.5317194201653317,-0.005197711506983671
55,27,0.5,0.2,J1,5.0,3.0,10.0,0.3653160680776298,5.148634959252885e-41,-0.3653160680776298
56,28,0.5,0.2,J0,5.0,4.0,1.0,0.5279031720276288,0.46634419130223115,-0.06155898072539767
57,28,0.5,0.2,J1,5.0,4.0,1.0,0.42799722148347036,0.2984591421680981,-0.12953807931537226
58,29,0.5,0.2,J0,5.0,4.0,2.0,0.5279031720276288,0.49848013913828376,-0.029423032889345058
59,29,0.5,0.2,J1,5.0,4.0,2.0,0.3375710409231778,0.09656875459779335,-0.24100228632538445
60,30,0.5,0.2,J0,5.0,4.0,5.0,0.5279031720276288,0.5166672883074384,-0.011235883720190465
